[LogInfo] Page generation time: 0.22497415542603 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 21.457592010498 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 15.076401948929 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 13.385001897812 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 11.926928043365 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 11.526529073715 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 6.0912709236145 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 3.2526309490204 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.9664831161499 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21458983421326 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22648191452026 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21636891365051 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21983695030212 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21508002281189 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21335482597351 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22027707099915 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22128415107727 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2211639881134 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22569704055786 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23979997634888 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23437309265137 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21737408638 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21680688858032 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22395086288452 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21717500686646 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2359299659729 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21810698509216 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2164740562439 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22390699386597 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21544098854065 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21721601486206 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22668504714966 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22000217437744 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13441705703735 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21653199195862 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.20997595787048 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14941215515137 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2689368724823 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22578597068787 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13543677330017 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13673496246338 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.20874786376953 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21133899688721 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.27692294120789 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13601398468018 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.14297699928284 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.16325807571411 seconds | Page:localhost/astracore/index.php | INFO
